fid,station_name,Land
1,Rigi,Switzerland
2,Mythenregion,Switzerland
3,Mörlialp - Giswil,Switzerland
4,Melchsee-Frutt,Switzerland
5,Marbach - Marbachegg,Switzerland
6,Hoch-Ybrig,Switzerland
7,Gibswil,Switzerland
8,Wildhaus - Toggenburg,Switzerland
9,Mollis - Schilt,Switzerland
10,Schwellbrunn - Appenzell,Switzerland
11,Pizol - Bad Ragaz - Wangs,Switzerland
12,Wolzenalp,Switzerland
13,Kerenzerberg - Filzbach,Switzerland
14,Kronberg,Switzerland
15,Les Diablerets,Switzerland
16,Charmey.ch,Switzerland
17,Veysonnaz - 4 Vallées,Switzerland
18,Vercorin,Switzerland
19,Nax / Mont-Noble,Switzerland
20,Les Marécottes,Switzerland
21,Evolène Espace Dent-Blanche,Switzerland
22,St-Cergue,Switzerland
23,Ibergeregg,Switzerland
24,Stoos,Switzerland
25,Rothenthurm,Switzerland
26,LAAX,Switzerland
27,Heuberge,Switzerland
28,Davos,Switzerland
29,Bivio,Switzerland
30,Bever/Engadin,Switzerland
31,Engelberg - Titlis,Switzerland
32,La Chaux-de-Fonds,Switzerland
33,Moléson s/Gruyères,Switzerland
34,St. Moritz,Switzerland
35,Kiental-Ramslauenen,Switzerland
36,Eriz,Switzerland
37,Elm,Switzerland
38,Ebenalp-Horn,Switzerland
39,Degersheim,Switzerland
40,Atzmännig,Switzerland
41,Zernez/Engadin,Switzerland
42,Tschiertschen,Switzerland
43,Tschappina-Heinzenberg,Switzerland
44,Silvaplana/Engadin,Switzerland
45,Engadin Scuol Zernez,Switzerland
46,Pontresina/Engadin,Switzerland
47,Bergbahnen Obersaxen Mundaun,Switzerland
48,Engadin,Switzerland
49,Arosa Lenzerheide,Switzerland
50,Elsigen - Metsch,Switzerland
51,Beatenberg - Niederhorn,Switzerland
52,Aeschi / Aeschiried,Switzerland
53,Adelboden,Switzerland
54,Dallenwil Wirzweli,Switzerland
55,Studen SZ,Switzerland
56,Sörenberg,Switzerland
57,Langis - Glaubenberg,Switzerland
58,Klewenalp-Stockhütte,Switzerland
59,Andermatt-Oberalp-Sedrun,Switzerland
60,Dent-de-Vaulion,Switzerland
61,Chur - Brambrüesch,Switzerland
62,Leukerbad,Switzerland
63,Bergbahnen Splügen,Switzerland
64,Rosswald,Switzerland
65,Moosalpregion Bürchen - Törbel,Switzerland
66,Jaun - Dorf,Switzerland
67,Wengen - Jungfrau Ski Region,Switzerland
68,Schwanden - Sigriswil,Switzerland
69,Schilthorn - Mürren - Jungfrau Ski Region,Switzerland
70,Lenk im Simmental,Switzerland
71,Lauterbrunnen,Switzerland
72,Kandersteg,Switzerland
73,Habkern,Switzerland
74,Disentis,Switzerland
75,Verbier,Switzerland
76,Torgon-Portes du Soleil,Switzerland
77,Ovronnaz,Switzerland
78,Nendaz - 4 Vallées,Switzerland
79,Grimentz-Zinal /Anniviers,Switzerland
80,La Fouly,Switzerland
81,Rochers-de-Naye - Caux,Switzerland
82,Flumserberg,Switzerland
83,Ebnat-Kappel - Toggenburg,Switzerland
84,Braunwald,Switzerland
85,Vals,Switzerland
86,Samedan/Engadin,Switzerland
87,Celerina/Engadin,Switzerland
88,Maloja/Engadin,Switzerland
89,Klosters,Switzerland
90,Grüsch-Danusa,Switzerland
91,Arosa Lenzerheide,Switzerland
92,Val Müstair,Switzerland
93,Sedrun-Oberalp-Andermatt,Switzerland
94,Bergbahnen Brigels AG,Switzerland
95,Zuoz/Engadin,Switzerland
96,Savognin,Switzerland
97,St-Luc / Chandolin,Switzerland
98,Champex-Lac,Switzerland
99,Bellwald - Familienpark Goms,Switzerland
100,Zermatt - Matterhorn,Switzerland
101,Unterbäch-Brandalp-Ginals,Switzerland
102,Saas-Grund,Switzerland
103,Saas-Fee,Switzerland
104,Lauchernalp-Lötschental,Switzerland
105,Grächen,Switzerland
106,Bruson,Switzerland
107,Aletsch Arena ,Switzerland
108,Thyon - 4 Vallées,Switzerland
109,Arolla Espace Dent-Blanche,Switzerland
110,Anzère,Switzerland
111,Sainte-Croix / Les Rasses,Switzerland
112,Villars-Gryon,Switzerland
113,Saignelégier,Switzerland
114,Les Paccots - La Veveyse,Switzerland
115,Pilatus / Luzern,Switzerland
116,Sattel - Hochstuckli,Switzerland
117,Samnaun/Ischgl,Switzerland
118,Toggenburg,Switzerland
119,Airolo-Pesciüm,Switzerland
120,Eischoll,Switzerland
121,Les Breuleux,Switzerland
122,Schwarzsee FR,Switzerland
123,Rathvel s/Châtel-St-Denis,Switzerland
124,Nordic Région Gibloux,Switzerland
125,Reichenbach - Faltschen - Kiental,Switzerland
126,Bergbahnen Diemtigtal,Switzerland
127,Heimenschwand,Switzerland
128,Rossberg Oberwil i.S.,Switzerland
129,Meiringen - Hasliberg,Switzerland
130,Jaunpass - Boltigen,Switzerland
131,Ferienregion Gstaad,Switzerland
132,La Berra - La Roche,Switzerland
133,Grindelwald - Jungfrau Region,Switzerland
134,Wiriehorn,Switzerland
135,Glacier 3000,Switzerland
